category,description,carbohydrate,protein,fat_total_lipid,kilocalories
LETTUCE,"LETTUCE,RED LEAF,RAW",2.26,1.33,0.22,16
MOUNTAIN YAM,"MOUNTAIN YAM,HAWAII,RAW",16.31,1.34,0.1,67
MOUNTAIN YAM,"MOUNTAIN YAM,HAWAII,CKD,STMD,WO/SALT",20.0,1.73,0.08,82
MUSHROOMS,"MUSHROOMS,WHITE,RAW",3.28,3.09,0.34,22
MUSHROOMS,"MUSHROOMS,CKD,BLD,DRND,WO/SALT",5.29,2.17,0.47,28
MUSHROOMS,"MUSHROOMS,WHITE,STIR-FRIED",4.04,3.58,0.33,26
MUSHROOMS,"MUSHROOMS,CND,DRND SOL",5.09,1.87,0.29,25
MUSHROOMS,"MUSHROOMS,PORTABELLA,RAW",5.07,2.5,0.2,26
MUSHROOMS,"MUSHROOMS,BROWN,ITALIAN,OR CRIMINI,RAW",4.12,2.5,0.1,27
MUSHROOMS,"MUSHROOMS,SHIITAKE,STIR-FRIED",7.68,3.45,0.35,48
MUSHROOMS,"MUSHROOMS,SHIITAKE,DRIED",75.37,9.58,0.99,296
MUSHROOMS,"MUSHROOMS,SHIITAKE,CKD,WO/SALT",14.39,1.56,0.22,56
MUSTARD GREENS,"MUSTARD GREENS,RAW",4.9,2.7,0.2,26
MUSTARD GRNS,"MUSTARD GRNS,CKD,BLD,DRND,WO/SALT",2.1,2.26,0.24,15
MUSTARD GRNS,"MUSTARD GRNS,FRZ,UNPREP",3.41,2.49,0.27,20
MUSTARD GRNS,"MUSTARD GRNS,FRZ,CKD,BLD,DRND,WO/SALT",3.11,2.27,0.25,19
MUSTARD SPINACH,"MUSTARD SPINACH,(TENDERGREEN),RAW",3.9,2.2,0.3,22
MUSTARD SPINACH,"MUSTARD SPINACH,(TENDERGREEN),CKD,BLD,DRND,WO/SALT",2.8,1.7,0.2,16
NEW ZEALAND SPINACH,"NEW ZEALAND SPINACH,RAW",2.5,1.5,0.2,14
NEW ZEALAND SPINACH,"NEW ZEALAND SPINACH,CKD,BLD,DRND,WO/SALT",2.2,1.3,0.17,12
OKRA,"OKRA,RAW",7.03,2.0,0.1,31
OKRA,"OKRA,CKD,BLD,DRND,WO/SALT",4.51,1.87,0.21,22
OKRA,"OKRA,FROZEN,UNPREPARED",6.63,1.69,0.25,30
OKRA,"OKRA,FRZ,CKD,BLD,DRND,WO/SALT",5.75,2.08,0.3,28
ONIONS,"ONIONS,RAW",9.34,1.1,0.1,40
ONIONS,"ONIONS,CKD,BLD,DRND,WO/SALT",10.15,1.36,0.19,44
ONIONS,"ONIONS,DEHYDRATED FLAKES",83.28,8.95,0.46,349
ONIONS,"ONIONS,CND,SOL&LIQUIDS",4.02,0.85,0.09,19
ONIONS,"ONIONS,YEL,SAUTEED",7.86,0.95,10.8,132
ONIONS,"ONIONS,FRZ,CHOPD,UNPREP",6.81,0.79,0.1,29
ONIONS,"ONIONS,FRZ,CHOPD,CKD,BLD,DRND,WO/SALT",6.59,0.77,0.1,28
ONIONS,"ONIONS,FRZ,WHL,UNPREP",8.45,0.89,0.06,35
ONIONS,"ONIONS,FRZ,WHL,CKD,BLD,DRND,WO/SALT",6.7,0.71,0.05,28
ONIONS,"ONIONS,SPRING OR SCALLIONS (INCL TOPS&BULB),RAW",7.34,1.83,0.19,32
ONIONS,"ONIONS,YOUNG GRN,TOPS ONLY",5.65,1.8,0.1,25
ONIONS,"ONIONS,WELSH,RAW",6.5,1.9,0.4,34
ONIONS,"ONIONS,SWT,RAW",7.55,0.8,0.08,32
ONION RINGS,"ONION RINGS,BREADED,PAR FR,FRZ,UNPREP",30.53,3.15,14.1,258
ONION RINGS,"ONION RINGS,BREADED,PAR FR,FRZ,PREP,HTD IN OVEN",38.16,5.34,26.7,407
PARSLEY,"PARSLEY,RAW",6.33,2.97,0.79,36
PARSNIPS,"PARSNIPS,RAW",17.99,1.2,0.3,75
PARSNIPS,"PARSNIPS,CKD,BLD,DRND,WO/SALT",17.01,1.32,0.3,71
PEAS,"PEAS,EDIBLE-PODDED,RAW",7.55,2.8,0.2,42
PEAS,"PEAS,EDIBLE-PODDED,BLD,DRND,WO/ SALT",7.05,3.27,0.23,42
PEAS,"PEAS,EDIBLE-PODDED,FRZ,UNPREP",7.2,2.8,0.3,42
PEAS,"PEAS,EDIBLE-PODDED,FRZ,CKD,BLD,DRND,WO/SALT",9.02,3.5,0.38,52
PEAS,"PEAS,GREEN,RAW",14.45,5.42,0.4,81
PEAS,"PEAS,GRN,CKD,BLD,DRND,WO/SALT",15.63,5.36,0.22,84
PEAS,"PEAS,GRN,CND,REG PK,SOL&LIQUIDS",9.75,3.19,0.3,53
PEAS,"PEAS,GRN (INCL BABY & LESUER TYPES),CND,DRND SOI,UNPREP",11.38,4.47,0.62,69
PEAS,"PEAS,GRN,CND,SEASONED,SOL&LIQUIDS",9.25,3.09,0.27,50
PEAS,"PEAS,GRN,FRZ,UNPREP",13.62,5.22,0.4,77
PEAS,"PEAS,GRN,FRZ,CKD,BLD,DRND,WO/SALT",14.26,5.15,0.27,78
PEAS,"PEAS,MATURE SEEDS,SPROUTED,RAW",27.11,8.8,0.68,124
PEAS,"PEAS,MATURE SEEDS,SPROUTED,CKD,BLD,DRND,WO/SALT",17.08,7.05,0.51,98
PEAS&CARROTS,"PEAS&CARROTS,CND,REG PK,SOL&LIQUIDS",8.48,2.17,0.27,38
PEAS&CARROTS,"PEAS&CARROTS,FRZ,UNPREP",11.15,3.4,0.47,53
PEAS&CARROTS,"PEAS&CARROTS,FRZ,CKD,BLD,DRND,WO/SALT",10.12,3.09,0.42,48
PEAS&ONIONS,"PEAS&ONIONS,CND,SOL&LIQUIDS",8.57,3.28,0.38,51
PEAS&ONIONS,"PEAS&ONIONS,FRZ,UNPREP",13.51,3.98,0.32,70
PEAS&ONIONS,"PEAS&ONIONS,FRZ,CKD,BLD,DRND,WO/SALT",8.63,2.54,0.2,45
PEPPERS,"PEPPERS,HOT CHILI,GRN,CND,PODS,EXCLUDING SEEDS,SOL&LIQUIDS",5.1,0.9,0.1,21
PEPPERS,"PEPPERS,SWT,GRN,RAW",4.64,0.86,0.17,20
PEPPERS,"PEPPERS,SWT,GRN,CKD,BLD,DRND,WO/SALT",6.7,0.92,0.2,28
PEPPERS,"PEPPERS,SWT,GRN,CND,SOL&LIQUIDS",3.9,0.8,0.3,18
PEPPERS,"PEPPERS,SWT,GRN,FRZ,CHOPD,UNPREP",4.45,1.08,0.21,20
PEPPERS,"PEPPERS,SWT,GRN,FRZ,CHOPD,BLD,DRND,WO/SALT",3.9,0.95,0.18,18
PEPPERS,"PEPPERS,SWT,GRN,SAUTEED",4.22,0.78,11.85,127
PIGEONPEAS,"PIGEONPEAS,IMMAT SEEDS,RAW",23.88,7.2,1.64,136
PIGEONPEAS,"PIGEONPEAS,IMMAT SEEDS,CKD,BLD,DRND,WO/SALT",19.49,5.96,1.36,111
No Category,POI,27.23,0.38,0.14,112
POKEBERRY SHOOTS,"POKEBERRY SHOOTS,(POKE),RAW",3.7,2.6,0.4,23
POKEBERRY SHOOTS,"POKEBERRY SHOOTS,(POKE),CKD,BLD,DRND,WO/SALT",3.1,2.3,0.4,20
POTATO,"POTATO,FLESH & SKN,RAW",17.47,2.02,0.09,77
POTATOES,"POTATOES,RUSSET,FLESH & SKN,RAW",18.07,2.14,0.08,79
POTATOES,"POTATOES,WHITE,FLESH & SKN,RAW",15.71,1.68,0.1,69
POTATOES,"POTATOES,RED,FLESH & SKN,RAW",15.9,1.89,0.14,70
POTATOES,"POTATOES,RUSSET,FLESH & SKN,BKD",21.44,2.63,0.13,97
POTATOES,"POTATOES,WHITE,FLESH & SKN,BKD",21.08,2.1,0.15,94
POTATOES,"POTATOES,RED,FLESH & SKN,BKD",19.59,2.3,0.15,89
POTATOES,"POTATOES,FR FR,CRNKL OR REG,SALT ADDED IN PROC,FRZ,AS PURCH",29.92,2.12,5.05,174
POTATOES,"POTATOES,FR FR,CRNKL/REG CUT,SALT ADDED IN PROC,FRZ,OVEN-HTD",27.5,2.51,5.13,166
POTATOES,"POTATOES,RAW,SKIN",12.44,2.57,0.1,58
POTATOES,"POTATOES,BKD,FLESH,WO/SALT",21.55,1.96,0.1,93
POTATOES,"POTATOES,BKD,SKN,WO/SALT",46.06,4.29,0.1,198
POTATOES,"POTATOES,BLD,CKD IN SKN,FLESH,WO/SALT",20.13,1.87,0.1,87
POTATOES,"POTATOES,BLD,CKD IN SKN,SKN,WO/SALT",17.21,2.86,0.1,78
POTATOES,"POTATOES,BLD,CKD WO/ SKN,FLESH,WO/ SALT",20.01,1.71,0.1,86
POTATOES,"POTATOES,MICROWAVED,CKD IN SKN,FLESH,WO/SALT",23.28,2.1,0.1,100
POTATOES,"POTATOES,MICROWAVED,CKD IN SKN,SKN,WO/SALT",29.63,4.39,0.1,132
POTATOES,"POTATOES,HASHED BROWN,HOME-PREPARED",35.11,3.0,12.52,265
POTATOES,"POTATOES,MSHD,HOME-PREPARED,WHL MILK & MARGARINE ADDED",16.9,1.97,4.2,113
POTATOES,"POTATOES,SCALLPD,HOME-PREPARED W/BUTTER",10.78,2.87,3.68,88
POTATOES,"POTATOES,AU GRATIN,HOME-PREPARED FROM RECIPE USING BUTTER",11.27,5.06,7.59,132
POTATOES,"POTATOES,CND,SOL&LIQUIDS",9.89,1.2,0.11,44
POTATOES,"POTATOES,CND,DRND SOL",13.61,1.41,0.21,60
POTATOES,"POTATOES,MSHD,DEHYD,FLAKES WO/MILK,DRY FORM",81.17,8.34,0.41,354
POTATOES,"POTATOES,MSHD,DEHYD,PREP FROM FLKS WO MLK,WHL MLK&BUTTR ADD",10.81,1.79,5.13,97
POTATOES,"POTATOES,MSHD,DEHYD,GRANULES WO/MILK,DRY FORM",85.51,8.22,0.54,372
POTATOES,"POTATOES,MSHD,DEHYD,PREP FR GRNLS WO/MILK,WHL MILK&BUTTER",14.36,2.05,4.96,108
POTATOES,"POTATOES,MSHD,DEHYD,GRANULES W/MILK,DRY FORM",77.7,10.9,1.1,357
POTATOES,"POTATOES,MSHD,DEHYD,PREP FROM GRAN W/ MILK,H2O & MARG ADDED",16.08,2.19,4.79,116
POTATOES,"POTATOES,AU GRATIN,DRY MIX,UNPREP",74.31,8.9,3.7,314
POTATOES,"POTATOES,AU GRATIN,DRY MIX,PREP W/H2O,WHL MILK&BUTTER",12.84,2.3,4.12,93
POTATOES,"POTATOES,SCALLPD,DRY MIX,UNPREP",73.93,7.77,4.59,358
POTATOES,"POTATOES,SCALLPD,DRY MIX,PREP W/H2O,WHL MILK&BUTTER",12.77,2.12,4.3,93
POTATOES,"POTATOES,HASHED BROWN,FRZ,PLN,UNPREP",17.72,2.06,0.62,82
POTATOES,"POTATOES,HASHED BROWN,FRZ,PLN,PREP",28.1,3.16,11.5,218
POTATOES,"POTATOES,HASHED BROWN,FRZ,W/BUTTER SAU,UNPREP",18.28,1.87,6.66,135
POTATOES,"POTATOES,HASHED BROWN,FRZ,W/BUTTER SAU,PREP",24.13,2.46,8.79,178
POTATOES,"POTATOES,FRENCH FR,SHOESTRING,SALT ADDED IN PROC,FRZ,AS PRCH",26.78,2.41,5.53,167
POTATOES,"POTATOES,FRENCH FR,SHOESTRNG,SALT ADDED IN PROC,FRZ,OVEN-HTD",31.66,2.9,6.76,199
POTATOES,"POTATOES,O'BRIEN,FRZ,UNPREP",17.47,1.83,0.14,76
POTATOES,"POTATOES,O'BRIEN,FRZ,PREP",21.86,2.22,13.21,204
POTATO PUFFS,"POTATO PUFFS,FRZ,UNPREP",25.97,2.03,7.77,175
POTATO PUFFS,"POTATO PUFFS,FRZ,OVEN-HEATED",27.75,2.05,8.62,190
POTATOES,"POTATOES,FRZ,WHL,UNPREP",17.47,2.38,0.16,78
POTATOES,"POTATOES,FRZ,WHL,CKD,BLD,DRND,WO/SALT",14.52,1.98,0.13,65
POTATOES,"POTATOES,FRENCH FR,ALL TYPES,SALT ADDED IN PROC,FRZ,UNPREP",24.81,2.24,4.66,147
POTATOES,"POTATOES,FRENCH FR,ALL TYPES,SALT ADDED IN PROC,FRZ,OVEN HTD",27.74,2.66,5.22,134
POTATOES,"POTATOES,FRZ,FRENCH FR,PAR FR,COTTAGE-CUT,UNPREP",23.98,2.42,5.78,153
POTATOES,"POTATOES,FRZ,FRCH FR,PAR FR,CTTGE-CUT,PREP,HTD OVEN,WO/SALT",34.03,3.44,8.2,218
POTATOES,"POTATOES,FRZ,FRENCH FR,PAR FR,EXTRUDED,UNPREP",30.15,2.83,14.95,260
POTATOES,"POTATOES,FRZ,FRCH FR,PAR FR,EXTRUDED,PREP,HTD OVEN,WO/SALT",39.68,3.55,18.71,333
USDA COMMODITY,"USDA COMMODITY,POTATO WEDGES,FRZ",25.5,2.7,2.2,123
POTATOES,"POTATOES,FRENCH FR,STK FRIES,SALT ADDED IN PROC,FRZ,AS PRCH",23.51,2.19,3.39,133
POTATOES,"POTATOES,FRENCH FR,STK FRIES,SALT ADDED IN PROC,FRZ,OVEN-HTD",26.98,2.57,3.76,152
No Category,POTATO FLOUR,83.1,6.9,0.34,357
POTATO SALAD,"POTATO SALAD,HOME-PREPARED",11.17,2.68,8.2,143
PUMPKIN FLOWERS,"PUMPKIN FLOWERS,RAW",3.28,1.03,0.07,15
PUMPKIN FLOWERS,"PUMPKIN FLOWERS,CKD,BLD,DRND,WO/SALT",3.3,1.09,0.08,15
PUMPKIN LEAVES,"PUMPKIN LEAVES,RAW",2.33,3.15,0.4,19
PUMPKIN LEAVES,"PUMPKIN LEAVES,CKD,BLD,DRND,WO/SALT",3.39,2.72,0.22,21
PUMPKIN,"PUMPKIN,RAW",6.5,1.0,0.1,26
PUMPKIN,"PUMPKIN,CKD,BLD,DRND,WO/SALT",4.9,0.72,0.07,20
PUMPKIN,"PUMPKIN,CND,WO/SALT",8.09,1.1,0.28,34
PUMPKIN PIE MIX,"PUMPKIN PIE MIX,CANNED",26.39,1.09,0.13,104
PURSLANE,"PURSLANE,RAW",3.43,1.3,0.1,16
PURSLANE,"PURSLANE,CKD,BLD,DRND,WO/SALT",3.55,1.49,0.19,18
RADISHES,"RADISHES,RAW",3.4,0.68,0.1,16
RADISHES,"RADISHES,ORIENTAL,RAW",4.1,0.6,0.1,18
RADISHES,"RADISHES,ORIENTAL,CKD,BLD,DRND,WO/SALT",3.43,0.67,0.24,17
RADISHES,"RADISHES,ORIENTAL,DRIED",63.37,7.9,0.72,271
RUTABAGAS,"RUTABAGAS,RAW",8.13,1.2,0.2,36
RUTABAGAS,"RUTABAGAS,CKD,BLD,DRND,WO/SALT",8.74,1.29,0.22,39
SALSIFY,"SALSIFY,(VEG OYSTER),RAW",18.6,3.3,0.2,82
SALSIFY,"SALSIFY,CKD,BLD,DRND,WO/SALT",15.36,2.73,0.17,68
SAUERKRAUT,"SAUERKRAUT,CND,SOL&LIQUIDS",4.28,0.91,0.14,19
SEAWEED,"SEAWEED,AGAR,RAW",6.75,0.54,0.03,26
SEAWEED,"SEAWEED,IRISHMOSS,RAW",12.29,1.51,0.16,49
SEAWEED,"SEAWEED,KELP,RAW",9.57,1.68,0.56,43
SEAWEED,"SEAWEED,LAVER,RAW",5.11,5.81,0.28,35
SESBANIA FLOWER,"SESBANIA FLOWER,RAW",6.73,1.28,0.04,27
SESBANIA FLOWER,"SESBANIA FLOWER,CKD,STMD,WO/SALT",5.23,1.14,0.05,22
SOYBEANS,"SOYBEANS,GREEN,RAW",11.05,12.95,6.8,147
SOYBEANS,"SOYBEANS,GRN,CKD,BLD,DRND,WO/SALT",11.05,12.35,6.4,141
SOYBEANS,"SOYBEANS,MATURE SEEDS,SPROUTED,RAW",9.57,13.09,6.7,122
SOYBEANS,"SOYBEANS,MATURE SEEDS,SPROUTED,CKD,STMD",6.53,8.47,4.45,81
SOYBEANS,"SOYBEANS,MATURE SEEDS,SPROUTED,CKD,STIR-FRIED",9.4,13.1,7.1,125
SPINACH,"SPINACH,RAW",3.63,2.86,0.39,23
SPINACH,"SPINACH,CKD,BLD,DRND,WO/ SALT",3.75,2.97,0.26,23
SPINACH,"SPINACH,CND,REG PK,SOL&LIQUIDS",2.92,2.11,0.37,19
SPINACH,"SPINACH,CND,DRND SOL",3.4,2.81,0.5,23
SPINACH,"SPINACH,FRZ,CHOPD OR LEAF,UNPREP",4.21,3.63,0.57,29
SPINACH,"SPINACH,FRZ,CHOPD OR LEAF,CKD,BLD,DRND,WO/SALT",4.8,4.01,0.87,34
SQUASH,"SQUASH,SMMR,CROOKNECK&STRAIGHTNECK,RAW",4.04,0.94,0.24,19
SQUASH,"SQUASH,SMMR,CROOKNECK&STRAIGHTNECK,CKD,BLD,DRND,WO/SALT",4.31,0.91,0.31,20
SQUASH,"SQUASH,SMMR,CROOKNECK&STRAIGHTNECK,CND,DRND,SOLID,WO/SALT",2.96,0.61,0.07,13
SQUASH,"SQUASH,SMMR,CROOKNECK&STRAIGHTNECK,FRZ,UNPREP",4.8,0.83,0.14,20
SQUASH,"SQUASH,SMMR,CROOKNECK&STRAIGHTNECK,FRZ,CKD,BLD,DRND,WO/SALT",5.54,1.28,0.2,25
SQUASH,"SQUASH,SUMMER,SCALLOP,RAW",3.84,1.2,0.2,18
SQUASH,"SQUASH,SMMR,SCALLOP,CKD,BLD,DRND,WO/SALT",3.3,1.03,0.17,16
SQUASH,"SQUASH,SMMR,ZUCCHINI,INCL SKN,RAW",3.35,1.21,0.18,16
SQUASH,"SQUASH,SMMR,ZUCCHINI,INCL SKN,CKD,BLD,DRND,WO/SALT",3.93,0.64,0.05,16
SQUASH,"SQUASH,SMMR,ZUCCHINI,INCL SKN,FRZ,UNPREP",3.59,1.16,0.13,17
SQUASH,"SQUASH,SMMR,ZUCCHINI,INCL SKN,FRZ,CKD,BLD,DRND,WO/SALT",3.56,1.15,0.13,17
SQUASH,"SQUASH,SMMR,ZUCCHINI,ITALIAN STYLE,CND",6.85,1.03,0.11,29
SQUASH,"SQUASH,WINTER,ACORN,RAW",10.42,0.8,0.1,40
SQUASH,"SQUASH,WNTR,ACORN,CKD,BKD,WO/SALT",14.58,1.12,0.14,56
SQUASH,"SQUASH,WNTR,ACORN,CKD,BLD,MSHD,WO/SALT",8.79,0.67,0.08,34
SQUASH,"SQUASH,WNTR,BUTTERNUT,RAW",11.69,1.0,0.1,45
SQUASH,"SQUASH,WNTR,BUTTERNUT,CKD,BKD,WO/SALT",10.49,0.9,0.09,40
SQUASH,"SQUASH,WNTR,BUTTERNUT,FRZ,UNPREP",14.41,1.76,0.1,57
SQUASH,"SQUASH,WNTR,BUTTERNUT,FRZ,CKD,BLD,WO/SALT",10.05,1.23,0.07,39
SQUASH,"SQUASH,WINTER,HUBBARD,RAW",8.7,2.0,0.5,40
SQUASH,"SQUASH,WNTR,HUBBARD,CKD,BKD,WO/SALT",10.81,2.48,0.62,50
SQUASH,"SQUASH,WNTR,HUBBARD,CKD,BLD,MSHD,WO/SALT",6.46,1.48,0.37,30
SQUASH,"SQUASH,WNTR,SPAGHETTI,RAW",6.91,0.64,0.57,31
SQUASH,"SQUASH,WNTR,SPAGHETTI,CKD,BLD,DRND,OR BKD,WO/SALT",6.46,0.66,0.26,27
SUCCOTASH,"SUCCOTASH,(CORN&LIMAS),RAW",19.59,5.03,1.02,99
SUCCOTASH,"SUCCOTASH,(CORN&LIMAS),CKD,BLD,DRND,WO/SALT",24.38,5.07,0.8,115
SUCCOTASH,"SUCCOTASH,(CORN&LIMAS),CND,W/CRM STYLE CORN",17.61,2.64,0.54,77
SUCCOTASH,"SUCCOTASH,(CORN&LIMAS),CND,W/WHL KERNEL CORN,SOL&LIQUIDS",13.98,2.6,0.49,63
SUCCOTASH,"SUCCOTASH,(CORN&LIMAS),FRZ,UNPREP",19.94,4.31,0.89,93
SUCCOTASH,"SUCCOTASH,(CORN&LIMAS),FRZ,CKD,BLD,DRND,WO/SALT",19.95,4.31,0.89,93
SWAMP CABBAGE,"SWAMP CABBAGE,(SKUNK CABBAGE),RAW",3.14,2.6,0.2,19
SWAMP CABBAGE,"SWAMP CABBAGE,CKD,BLD,DRND,WO/SALT",3.71,2.08,0.24,20
SWEET POTATO LEAVES,"SWEET POTATO LEAVES,RAW",6.38,4.0,0.3,35
SWEET POTATO LEAVES,"SWEET POTATO LEAVES,CKD,STMD,WO/ SALT",7.32,2.32,0.3,34
SWEET POTATO,"SWEET POTATO,RAW,UNPREP",20.12,1.57,0.05,86
SWEET POTATO,"SWEET POTATO,CKD,BKD IN SKN,WO/ SALT",20.71,2.01,0.15,90
SWEET POTATO,"SWEET POTATO,CKD,BLD,WO/ SKN",17.72,1.37,0.14,76
SWEETPOTATO,"SWEETPOTATO,CND,VACUUM PK",21.12,1.65,0.2,91
SWEET POTATO,"SWEET POTATO,CND,MSHD",23.19,1.98,0.2,101
SWEET POTATO,"SWEET POTATO,FRZ,UNPREP",22.22,1.71,0.18,96
SWEET POTATO,"SWEET POTATO,FRZ,CKD,BKD,WO/ SALT",23.4,1.71,0.12,100
TARO,"TARO,RAW",26.46,1.5,0.2,112
TARO,"TARO,COOKED,WITHOUT SALT",34.6,0.52,0.11,142
TARO LEAVES,"TARO LEAVES,RAW",6.7,4.98,0.74,42
TARO LEAVES,"TARO LEAVES,CKD,STMD,WO/SALT",4.02,2.72,0.41,24
TARO SHOOTS,"TARO SHOOTS,RAW",2.32,0.92,0.09,11
TARO SHOOTS,"TARO SHOOTS,CKD,WO/SALT",3.2,0.73,0.08,14
TARO,"TARO,TAHITIAN,RAW",6.91,2.79,0.97,44
TARO,"TARO,TAHITIAN,CKD,WO/SALT",6.85,4.16,0.68,44
TOMATOES,"TOMATOES,GREEN,RAW",5.1,1.2,0.2,23
TOMATOES,"TOMATOES,RED,RIPE,RAW,YEAR RND AVERAGE",3.92,0.88,0.2,18
TOMATOES,"TOMATOES,RED,RIPE,CKD",4.01,0.95,0.11,18
TOMATOES,"TOMATOES,RED,RIPE,CND,PACKED IN TOMATO JUC",4.0,0.78,0.13,17
TOMATOES,"TOMATOES,RED,RIPE,CND,STWD",6.19,0.91,0.19,26
TOMATOES,"TOMATOES,RED,RIPE,CND,W/GRN CHILIES",3.62,0.69,0.08,15
TOMATO JUC,"TOMATO JUC,CND,W/SALT",4.24,0.76,0.05,17
TOMATO PRODUCTS,"TOMATO PRODUCTS,CND,PASTE,WO/ SALT ADDED",18.91,4.32,0.47,82
TOMATO PRODUCTS,"TOMATO PRODUCTS,CND,PUREE,WO/SALT",8.98,1.65,0.21,38
No Category,TOMATO POWDER,74.68,12.91,0.44,302
TOMATO PRODUCTS,"TOMATO PRODUCTS,CND,SAU",5.38,1.32,0.18,24
TOMATO PRODUCTS,"TOMATO PRODUCTS,CND,SAU,W/MUSHROOMS",8.43,1.45,0.13,35
TOMATO PRODUCTS,"TOMATO PRODUCTS,CND,SAU,W/ONIONS",9.94,1.56,0.19,42
TOMATO PRODUCTS,"TOMATO PRODUCTS,CND,SAU,W/HERBS&CHS",10.24,2.13,1.93,59
TOMATO PRODUCTS,"TOMATO PRODUCTS,CND,SAU,W/ONIONS,GRN PEPPERS,&CELERY",8.77,0.94,0.74,41
TOMATO PRODUCTS,"TOMATO PRODUCTS,CND,SAU,W/TOMATO TIDBITS",7.09,1.32,0.39,32
TREE FERN,"TREE FERN,CKD,WO/SALT",10.98,0.29,0.07,40
TURNIPS,"TURNIPS,RAW",6.43,0.9,0.1,28
TURNIPS,"TURNIPS,CKD,BLD,DRND,WO/SALT",5.06,0.71,0.08,22
TURNIPS,"TURNIPS,FROZEN,UNPREPARED",2.94,1.04,0.16,16
TURNIPS,"TURNIPS,FRZ,CKD,BLD,DRND,WO/SALT",4.35,1.53,0.24,23
TURNIP GREENS,"TURNIP GREENS,RAW",7.13,1.5,0.3,32
TURNIP GRNS,"TURNIP GRNS,CKD,BLD,DRND,WO/SALT",4.36,1.14,0.23,20
TURNIP GRNS,"TURNIP GRNS,CND,SOL&LIQUIDS",2.42,1.36,0.3,14
TURNIP GRNS,"TURNIP GRNS,FRZ,UNPREP",3.67,2.47,0.31,22
TURNIP GRNS,"TURNIP GRNS,FRZ,CKD,BLD,DRND,WO/SALT",4.98,3.35,0.42,29
TURNIP GRNS&TURNIPS,"TURNIP GRNS&TURNIPS,FRZ,UNPREP",3.4,2.46,0.19,21
TURNIP GRNS&TURNIPS,"TURNIP GRNS&TURNIPS,FRZ,CKD,BLD,DRND,WO/SALT",4.85,2.99,0.38,35
VEGETABLE JUC COCKTAIL,"VEGETABLE JUC COCKTAIL,CND",4.55,0.63,0.09,19
VEGETABLES,"VEGETABLES,MXD,CND,SOL&LIQUIDS",7.13,1.42,0.25,36
VEGETABLES,"VEGETABLES,MXD,CND,DRND SOL",9.26,2.59,0.25,49
VEGETABLES,"VEGETABLES,MXD,FRZ,UNPREP",13.46,3.33,0.52,64
VEGETABLES,"VEGETABLES,MXD,FRZ,CKD,BLD,DRND,WO/SALT",13.09,2.86,0.15,65
VINESPINACH,"VINESPINACH,(BASELLA),RAW",3.4,1.8,0.3,19
WATERCHESTNUTS,"WATERCHESTNUTS,CHINESE,(MATAI),RAW",23.94,1.4,0.1,97
WATERCHESTNUTS,"WATERCHESTNUTS,CHINESE,CND,SOL&LIQUIDS",12.3,0.88,0.06,50
WATERCRESS,"WATERCRESS,RAW",1.29,2.3,0.1,11
WAXGOURD,"WAXGOURD,(CHINESE PRESERVING MELON),RAW",3.0,0.4,0.2,13
WAXGOURD,"WAXGOURD,(CHINESE PRESERVING MELON),CKD,BLD,DRND,WO/SALT",3.04,0.4,0.2,14
WINGED BNS,"WINGED BNS,IMMAT SEEDS,RAW",4.31,6.95,0.87,49
WINGED BNS,"WINGED BNS,IMMAT SEEDS,CKD,BLD,DRND,WO/SALT",3.21,5.31,0.66,38
WINGED BEAN LEAVES,"WINGED BEAN LEAVES,RAW",14.1,5.85,1.1,74
WINGED BEAN TUBER,"WINGED BEAN TUBER,RAW",28.1,11.6,0.9,148
YAM,"YAM,RAW",27.88,1.53,0.17,118
YAM,"YAM,CKD,BLD,DRND,OR BKD,WO/SALT",27.48,1.49,0.14,116
YAMBEAN (JICAMA),"YAMBEAN (JICAMA),RAW",8.82,0.72,0.09,38
YAMBEAN (JICAMA),"YAMBEAN (JICAMA),CKD,BLD,DRND,WO/SALT",8.82,0.72,0.09,38
BEETS,"BEETS,HARVARD,CND,SOL&LIQUIDS",18.18,0.84,0.06,73
BEETS,"BEETS,PICKLED,CND,SOL&LIQUIDS",16.28,0.8,0.08,65
BORAGE,"BORAGE,RAW",3.06,1.8,0.7,21
BORAGE,"BORAGE,CKD,BLD,DRND,WO/SALT",3.55,2.09,0.81,25
CHIVES,"CHIVES,FREEZE-DRIED",64.29,21.2,3.5,311
DOCK,"DOCK,RAW",3.2,2.0,0.7,22
DOCK,"DOCK,CKD,BLD,DRND,WO/SALT",2.93,1.83,0.64,20
EPPAW,"EPPAW,RAW",31.68,4.6,1.8,150
HORSERADISH-TREE,"HORSERADISH-TREE,PODS,RAW",8.53,2.1,0.2,37
HORSERADISH-TREE,"HORSERADISH-TREE,PODS,CKD,BLD,DRND,WO/SALT",8.18,2.09,0.19,36
KALE,"KALE,SCOTCH,RAW",8.32,2.8,0.6,42
KALE,"KALE,SCOTCH,CKD,BLD,DRND,WO/SALT",5.63,1.9,0.41,28
LEEKS,"LEEKS,(BULB&LOWER-LEAF PORTION),FREEZE-DRIED",74.65,15.2,2.1,321
PARSLEY,"PARSLEY,FREEZE-DRIED",42.38,31.3,5.2,271
BEANS,"BEANS,MUNG,MATURE SEEDS,SPROUTED,CND,DRND SOL",2.14,1.4,0.06,12
PEPPERS,"PEPPERS,JALAPENO,CND,SOL&LIQUIDS",4.74,0.92,0.94,27
